db_key,sequence,latitude,longitude,label
FL-PROFILE-001,1,30.2800,-84.4200,Southwest endpoint
FL-PROFILE-002,2,30.3075,-84.3925,Profile point 002
FL-PROFILE-003,3,30.3350,-84.3650,Profile point 003
FL-PROFILE-004,4,30.3625,-84.3375,Profile point 004
FL-PROFILE-005,5,30.3900,-84.3100,Profile point 005
FL-PROFILE-006,6,30.4175,-84.2825,Profile point 006
FL-PROFILE-007,7,30.4450,-84.2550,Profile point 007
FL-PROFILE-008,8,30.4725,-84.2275,Profile point 008
FL-PROFILE-009,9,30.5000,-84.2000,Profile point 009
FL-PROFILE-010,10,30.5275,-84.1725,Profile point 010
FL-PROFILE-011,11,30.5550,-84.1450,Profile point 011
FL-PROFILE-012,12,30.5825,-84.1175,Profile point 012
FL-PROFILE-013,13,30.6100,-84.0900,Northeast endpoint
